2026-04-15 23:22:19,389 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:22:19,389 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:earth_orbit
2026-04-15 23:22:19,405 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:22:19,405 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:mercury_orbit
2026-04-15 23:22:19,416 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:22:19,416 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:venus_orbit
2026-04-15 23:22:19,424 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:22:19,424 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension prehistoricfauna:cretaceous
2026-04-15 23:22:19,464 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:22:19,464 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension gamma_creatures:gamma_dimension
2026-04-15 23:22:19,477 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:22:19,478 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:mercury
2026-04-15 23:22:19,492 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:22:19,492 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:moon
2026-04-15 23:22:19,507 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:22:19,507 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:mars
2026-04-15 23:22:19,513 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:22:19,513 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:moon_orbit
2026-04-15 23:22:19,533 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:22:19,533 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:glacio
2026-04-15 23:22:19,548 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:22:19,548 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:venus
2026-04-15 23:22:19,566 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:22:19,566 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension minecraft:the_end
2026-04-15 23:22:19,577 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:22:19,577 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:mars_orbit
2026-04-15 23:22:19,583 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:22:19,583 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:glacio_orbit
2026-04-15 23:22:19,589 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:22:19,589 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension prehistoricfauna:triassic
2026-04-15 23:27:11,457 [main] INFO treasure2 | RarityWeightDataHandler.java:67 | loading rarity weights from data packs...
2026-04-15 23:27:11,471 [main] INFO treasure2 | RarityWeightDataHandler.java:92 | loaded 0 rarity weight.
2026-04-15 23:27:11,473 [main] INFO treasure2 | RarityOrderSetDataHandler.java:64 | loading rarity order sets from data packs...
2026-04-15 23:27:11,480 [main] INFO treasure2 | RarityOrderSetDataHandler.java:92 | loaded 0 rarity weight.
2026-04-15 23:27:11,480 [main] INFO treasure2 | RarityLootTableAssociationDataHandler.java:64 | loading rarity loot table associations from data packs...
2026-04-15 23:27:11,485 [main] INFO treasure2 | RarityItemAssociationDataHandler.java:62 | loading rarity item associations from data packs...
2026-04-15 23:27:11,486 [main] INFO treasure2 | RarityBlockAssociationDataHandler.java:62 | loading rarity block associations from data packs...
2026-04-15 23:27:11,487 [main] INFO treasure2 | MobSetDataHandler.java:67 | loading mobsets from data packs...
2026-04-15 23:27:11,494 [main] INFO treasure2 | ChestSubprocessorDataHandler.java:66 | loading chest subprocessors from data packs...
